season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,59.520,56.734,54.966,50
2010,58.219,55.354,55.440,50
2011,59.662,56.997,52.816,50
2012,58.333,57.205,54.148,50
2013,58.935,57.293,52.576,50
2014,59.099,55.480,55.140,50
2015,60.408,57.868,54.484,50
2016,57.553,53.159,53.749,50
2017,57.696,55.832,53.259,50
2018,59.056,57.311,54.118,50
2019,60.877,59.726,52.699,50
2020,58.891,55.991,57.373,50
2021,60.339,57.966,52.373,50
2022,60.913,58.955,54.726,50
2023,56.987,56.843,51.889,50
2024,57.107,54.868,50.990,50
2025,53.378,53.622,54.038,50
