season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,70.536,66.071,53.571,50
2010,72.222,57.143,57.937,50
2011,71.429,61.417,53.543,50
2012,66.142,63.780,54.331,50
2013,68.595,66.935,56.452,50
2014,72.727,58.537,57.724,50
2015,68.033,69.106,53.659,50
2016,58.871,58.400,48.800,50
2017,69.672,68.293,57.724,50
2018,76.423,68.000,60.000,50
2019,65.574,55.285,60.163,50
2020,66.116,63.636,52.893,50
2021,70.968,65.323,50.000,50
2022,66.418,61.194,45.522,50
2023,69.466,61.069,58.015,50
2024,69.919,57.724,55.285,50
2025,75.188,72.180,52.632,50
