season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,59.887005649717516,50.27322404371585,57.377049180327866,50.0
2010,58.12274368231047,54.974704890387855,58.34738617200674,50.0
2011,57.857142857142854,56.5,51.166666666666664,50.0
2012,58.51063829787234,54.666666666666664,55.166666666666664,50.0
2013,61.46788990825688,58.68945868945869,56.6951566951567,50.0
2014,58.02675585284281,56.1576354679803,53.03776683087028,50.0
2015,57.03703703703704,57.142857142857146,51.83150183150183,50.0
2016,59.602649006622514,55.18945634266886,51.894563426688634,50.0
2017,58.289703315881326,56.499133448873486,54.41941074523397,50.0
2018,61.935483870967744,59.90491283676704,55.15055467511886,50.0
2019,58.038585209003216,56.0702875399361,53.74800637958533,50.0
2020,56.554307116104866,55.51401869158879,52.33644859813084,50.0
2021,60.74766355140187,60.74766355140187,54.67289719626168,50.0
2022,64.22018348623853,61.620795107033636,51.8348623853211,50.0
2023,63.70716510903427,62.67496111975117,52.41057542768274,50.0
2024,62.59780907668232,58.07453416149068,55.43478260869565,50.0
2025,61.60990712074303,58.30769230769231,58.0,50.0
