season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2009,0.191,0.229,0.238,0.250
2010,0.194,0.207,0.251,0.250
2011,0.198,0.219,0.244,0.250
2012,0.200,0.221,0.243,0.250
2013,0.191,0.213,0.236,0.250
2014,0.192,0.212,0.243,0.250
2015,0.191,0.218,0.243,0.250
2016,0.191,0.203,0.242,0.250
2017,0.221,0.236,0.242,0.250
2018,0.190,0.212,0.243,0.250
2019,0.199,0.218,0.245,0.250
2020,0.220,0.231,0.250,0.250
2021,0.199,0.216,0.248,0.250
2022,0.201,0.225,0.248,0.250
2023,0.207,0.230,0.250,0.250
2024,0.196,0.213,0.256,0.250
2025,0.193,0.209,0.248,0.250
